frame,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility
0,0.45,0.455,0.0,0.99,0.55,0.455,0.0,0.99,0.45,0.65,0.0,0.99,0.55,0.65,0.0,0.99,0.43,0.88,0.0,0.99,0.5700000000000001,0.88,0.0,0.99,0.45,0.223,0.0,0.99,0.55,0.223,0.0,0.99
1,0.45211382623629626,0.4545531738642746,0.0,0.99,0.5521138262362962,0.4545531738642746,0.0,0.99,0.47747974107185115,0.6457723475274075,0.0,0.99,0.5267479114007414,0.6457723475274075,0.0,0.99,0.45793167327549383,0.88,0.0,0.99,0.5462959791970987,0.88,0.0,0.99,0.451691060989037,0.22273190431856474,0.0,0.99,0.5516910609890371,0.22273190431856474,0.0,0.99
2,0.4541321218576838,0.4532925568953252,0.0,0.99,0.5541321218576838,0.4532925568953252,0.0,0.99,0.5037175841498892,0.6417357562846324,0.0,0.99,0.5045466595654784,0.6417357562846324,0.0,0.99,0.48550488869279096,0.88,0.0,0.99,0.5227593550225766,0.88,0.0,0.99,0.453305697486147,0.22197553413719512,0.0,0.99,0.5533056974861471,0.22197553413719512,0.0,0.99
3,0.45596367358538503,0.45144345973669814,0.0,0.99,0.555963673585385,0.45144345973669814,0.0,0.99,0.5275277566100052,0.63807265282923,0.0,0.99,0.48439959056076487,0.63807265282923,0.0,0.99,0.5114735238513859,0.88,0.0,0.99,0.5004538233193842,0.88,0.0,0.99,0.454770938868308,0.22086607584201887,0.0,0.99,0.5547709388683081,0.22086607584201887,0.0,0.99
4,0.4575257076985614,0.4493363723635814,0.0,0.99,0.5575257076985615,0.4493363723635814,0.0,0.99,0.547834200081298,0.6349485846028773,0.0,0.99,0.46721721531582483,0.6349485846028773,0.0,0.99,0.5346639724999972,0.88,0.0,0.99,0.4803874428971256,0.88,0.0,0.99,0.4560205661588491,0.21960182341814882,0.0,0.99,0.5560205661588492,0.21960182341814882,0.0,0.99
5,0.4587476308453196,0.4473478954594013,0.0,0.99,0.5587476308453196,0.4473478954594013,0.0,0.99,0.563719200989155,0.6325047383093608,0.0,0.99,0.45377606070148435,0.6325047383093608,0.0,0.99,0.5540281835825019,0.88,0.0,0.99,0.46346707810813736,0.88,0.0,0.99,0.4569981046762557,0.21840873727564078,0.0,0.99,0.5569981046762558,0.21840873727564078,0.0,0.99
6,0.45957422038362006,0.44583343040458745,0.0,0.99,0.5595742203836201,0.44583343040458745,0.0,0.99,0.5744648649870607,0.6308515592327599,0.0,0.99,0.44468357578017953,0.6308515592327599,0.0,0.99,0.5686910260402683,0.88,0.0,0.99,0.450457414726972,0.88,0.0,0.99,0.45765937630689607,0.21750005824275245,0.0,0.99,0.5576593763068961,0.21750005824275245,0.0,0.99
7,0.4599681200703075,0.44506365822639327,0.0,0.99,0.5599681200703075,0.44506365822639327,0.0,0.99,0.5795855609139975,0.630063759859385,0.0,0.99,0.44035067922661747,0.630063759859385,0.0,0.99,0.5779898388029359,0.88,0.0,0.99,0.44194640133767915,0.88,0.0,0.99,0.457974496056246,0.21703819493583595,0.0,0.99,0.557974496056246,0.21703819493583595,0.0,0.99
8,0.45991152831004006,0.4451761606559274,0.0,0.99,0.5599115283100401,0.4451761606559274,0.0,0.99,0.578849868030521,0.6301769433799199,0.0,0.99,0.44097318858955925,0.6301769433799199,0.0,0.99,0.5815043785761954,0.88,0.0,0.99,0.4383186780438848,0.88,0.0,0.99,0.45792922264803204,0.21710569639355645,0.0,0.99,0.5579292226480321,0.21710569639355645,0.0,0.99
9,0.45940700266671036,0.4461508300828505,0.0,0.99,0.5594070026667104,0.4461508300828505,0.0,0.99,0.5722910346672343,0.6311859946665793,0.0,0.99,0.4465229706661864,0.6311859946665793,0.0,0.99,0.5790758119895949,0.88,0.0,0.99,0.4397381933438258,0.88,0.0,0.99,0.4575256021333683,0.21769049804971027,0.0,0.99,0.5575256021333683,0.21769049804971027,0.0,0.99
