frame,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility
0,0.453125,0.4166666666666667,0.0,0.99,0.453125,0.5833333333333334,0.0,0.99,0.552897204758447,0.6837370265601248,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.546875,0.5833333333333334,0.0,0.99,0.5563329436708865,0.74952223416084,0.0,0.99
1,0.453125,0.4166666666666667,0.0,0.99,0.4609166339455134,0.5830092338944431,0.0,0.99,0.5703001069305437,0.6636759648887224,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5390833660544867,0.5830092338944431,0.0,0.99,0.5308922585550518,0.7493176796367255,0.0,0.99
2,0.453125,0.4166666666666667,0.0,0.99,0.4683398025841024,0.5820941118292677,0.0,0.99,0.5840185722160096,0.6452471500276441,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5316601974158977,0.5820941118292677,0.0,0.99,0.5090147783785877,0.7460029482617982,0.0,0.99
3,0.453125,0.4166666666666667,0.0,0.99,0.4750528948429106,0.5807488543532486,0.0,0.99,0.5944014963548714,0.6302963411986163,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5249471051570894,0.5807488543532486,0.0,0.99,0.49173235997093523,0.7414239894120587,0.0,0.99
4,0.453125,0.4166666666666667,0.0,0.99,0.48076264707786204,0.5792084792100491,0.0,0.99,0.6019175648749735,0.6202284936978335,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5192373529221379,0.5792084792100491,0.0,0.99,0.4796649354599962,0.7373028182819504,0.0,0.99
5,0.453125,0.4166666666666667,0.0,0.99,0.48523682926615674,0.5777399028526738,0.0,0.99,0.6069041612008288,0.6159686957222338,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5147631707338433,0.5777399028526738,0.0,0.99,0.4731523457286898,0.7349010472866762,0.0,0.99
6,0.453125,0.4166666666666667,0.0,0.99,0.4883077008274707,0.5765954150377096,0.0,0.99,0.6093946331791459,0.6179707660178567,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5116922991725292,0.5765954150377096,0.0,0.99,0.47238086841444726,0.7348054661961617,0.0,0.99
7,0.453125,0.4166666666666667,0.0,0.99,0.48986872228925515,0.5759701443288116,0.0,0.99,0.6090562632060033,0.6262021410412834,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5101312777107448,0.5759701443288116,0.0,0.99,0.4774355503295557,0.7368344178903176,0.0,0.99
8,0.453125,0.4166666666666667,0.0,0.99,0.48986872228925515,0.5759701443288116,0.0,0.99,0.6052506257665439,0.6400813858455188,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5101312777107448,0.5759701443288116,0.0,0.99,0.488250981358751,0.7400636278830828,0.0,0.99
9,0.453125,0.4166666666666667,0.0,0.99,0.4883077008274707,0.5765954150377096,0.0,0.99,0.5972119876781161,0.6584066482305757,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5116922991725292,0.5765954150377096,0.0,0.99,0.5044823960905623,0.7429846096524169,0.0,0.99
10,0.453125,0.4166666666666667,0.0,0.99,0.48523682926615674,0.5777399028526738,0.0,0.99,0.5843147019716529,0.6793585812770527,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5147631707338433,0.5777399028526738,0.0,0.99,0.525363044707033,0.7438062492821925,0.0,0.99
11,0.453125,0.4166666666666667,0.0,0.99,0.48076264707786215,0.5792084792100491,0.0,0.99,0.5663640870046602,0.7006618519363484,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5192373529221379,0.5792084792100491,0.0,0.99,0.5496363144112355,0.7408715204911004,0.0,0.99
12,0.453125,0.4166666666666667,0.0,0.99,0.4750528948429106,0.5807488543532486,0.0,0.99,0.5438144467112236,0.719932818848916,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5249471051570894,0.5807488543532486,0.0,0.99,0.5756345308827957,0.7330980723335251,0.0,0.99
13,0.453125,0.4166666666666667,0.0,0.99,0.4683398025841024,0.5820941118292677,0.0,0.99,0.5178218501923089,0.7351461840980754,0.0,0.99,0.546875,0.4166666666666667,0.0,0.99,0.5316601974158977,0.5820941118292677,0.0,0.99,0.6015165914782987,0.7203054425022534,0.0,0.99
